Datum;Tid (UTC);Global Irradians (svenska stationer);Kvalitet
2008-01-01;01:00:00;0.00;G
2008-01-01;02:00:00;0.00;G
2008-01-01;03:00:00;0.00;G
2008-01-01;04:00:00;0.00;G
2008-01-01;05:00:00;0.00;G
2008-01-01;06:00:00;0.00;G
2008-01-01;07:00:00;0.00;G
2008-01-01;08:00:00;0.12;G
2008-01-01;09:00:00;3.21;G
2008-01-01;10:00:00;13.47;G
2008-01-01;11:00:00;21.70;G
2008-01-01;12:00:00;15.22;G
2008-01-01;13:00:00;5.34;G
2008-01-01;14:00:00;1.22;G
2008-01-01;15:00:00;0.00;G
2008-01-01;16:00:00;0.00;G
2008-01-01;17:00:00;0.00;G
2008-01-01;18:00:00;0.00;G
2008-01-01;19:00:00;0.00;G
2008-01-01;20:00:00;0.00;G
2008-01-01;21:00:00;0.00;G
2008-01-01;22:00:00;0.00;G
2008-01-01;23:00:00;0.00;G
2008-01-02;00:00:00;0.00;G
2008-01-02;01:00:00;0.00;G
2008-01-02;02:00:00;0.00;G
2008-01-02;03:00:00;0.00;G
2008-01-02;04:00:00;0.00;G
2008-01-02;05:00:00;0.00;G
2008-01-02;06:00:00;0.00;G
2008-01-02;07:00:00;0.05;G
2008-01-02;08:00:00;0.27;G
2008-01-02;09:00:00;1.71;G
2008-01-02;10:00:00;4.24;G
2008-01-02;11:00:00;6.56;G
2008-01-02;12:00:00;12.72;G
2008-01-02;13:00:00;9.13;G
2008-01-02;14:00:00;3.32;G
2008-01-02;15:00:00;0.51;G
2008-01-02;16:00:00;0.00;G
2008-01-02;17:00:00;0.00;G
2008-01-02;18:00:00;0.00;G
2008-01-02;19:00:00;0.00;G
2008-01-02;20:00:00;0.00;G
2008-01-02;21:00:00;0.00;G
2008-01-02;22:00:00;0.00;G
2008-01-02;23:00:00;0.00;G
2008-01-03;00:00:00;0.00;G
2008-01-03;01:00:00;0.00;G
2008-01-03;02:00:00;0.00;G
2008-01-03;03:00:00;0.00;G
2008-01-03;04:00:00;0.00;G
2008-01-03;05:00:00;0.00;G
2008-01-03;06:00:00;0.00;G
2008-01-03;07:00:00;0.04;G
2008-01-03;08:00:00;1.48;G
2008-01-03;09:00:00;7.36;G
2008-01-03;10:00:00;5.43;G
2008-01-03;11:00:00;36.21;G
2008-01-03;12:00:00;32.57;G
2008-01-03;13:00:00;12.10;G
2008-01-03;14:00:00;3.47;G
2008-01-03;15:00:00;0.51;G
2008-01-03;16:00:00;0.01;G
2008-01-03;17:00:00;0.00;G
2008-01-03;18:00:00;0.00;G
2008-01-03;19:00:00;0.00;G
2008-01-03;20:00:00;0.00;G
2008-01-03;21:00:00;0.00;G
2008-01-03;22:00:00;0.00;G
2008-01-03;23:00:00;0.00;G
2008-01-04;00:00:00;0.00;G
2008-01-04;01:00:00;0.00;G
2008-01-04;02:00:00;0.00;G
2008-01-04;03:00:00;0.00;G
2008-01-04;04:00:00;0.00;G
2008-01-04;05:00:00;0.00;G
2008-01-04;06:00:00;0.00;G
2008-01-04;07:00:00;0.00;G
2008-01-04;08:00:00;2.76;G
2008-01-04;09:00:00;28.33;G
2008-01-04;10:00:00;67.53;G
2008-01-04;11:00:00;59.99;G
2008-01-04;12:00:00;78.05;G
2008-01-04;13:00:00;49.78;G
2008-01-04;14:00:00;18.62;G
2008-01-04;15:00:00;0.89;G
2008-01-04;16:00:00;0.00;G
2008-01-04;17:00:00;0.00;G
2008-01-04;18:00:00;0.00;G
2008-01-04;19:00:00;0.00;G
2008-01-04;20:00:00;0.00;G
2008-01-04;21:00:00;0.00;G
2008-01-04;22:00:00;0.00;G
2008-01-04;23:00:00;0.00;G
2008-01-05;00:00:00;0.00;G
2008-01-05;01:00:00;0.00;G
2008-01-05;02:00:00;0.00;G
2008-01-05;03:00:00;0.00;G
2008-01-05;04:00:00;0.00;G
2008-01-05;05:00:00;0.00;G
2008-01-05;06:00:00;0.00;G
2008-01-05;07:00:00;0.06;G
2008-01-05;08:00:00;1.00;G
2008-01-05;09:00:00;4.66;G
2008-01-05;10:00:00;9.61;G
2008-01-05;11:00:00;13.81;G
2008-01-05;12:00:00;14.80;G
2008-01-05;13:00:00;11.76;G
2008-01-05;14:00:00;3.50;G
2008-01-05;15:00:00;0.23;G
2008-01-05;16:00:00;0.00;G
2008-01-05;17:00:00;0.00;G
2008-01-05;18:00:00;0.00;G
2008-01-05;19:00:00;0.00;G
2008-01-05;20:00:00;0.00;G
2008-01-05;21:00:00;0.00;G
2008-01-05;22:00:00;0.00;G
2008-01-05;23:00:00;0.00;G
2008-01-06;00:00:00;0.00;G
2008-01-06;01:00:00;0.00;G
2008-01-06;02:00:00;0.00;G
2008-01-06;03:00:00;0.00;G
2008-01-06;04:00:00;0.00;G
2008-01-06;05:00:00;0.00;G
