station,pred,datum,temperatur,nederbordsmangd,vindriktning,vindhastighet,lufttryck,daggpunktstemperatur,month,lag_temperatur
Station_1,NA,2017-01-01,0.3,0,307.6666666666667,2.970833333333333,1012.3083333333334,-2.833333333333334,1,NA
Station_1,121.78981642682324,2017-01-02,3.4,4,251.375,4.8500000000000005,1002.2125,1.5374999999999996,1,0.3
Station_1,111.87168062104833,2017-01-03,1.1,0,169.70833333333334,7.525000000000002,999.0374999999998,-3.4708333333333328,1,3.4
Station_1,113.01720190549905,2017-01-04,-7.1,0,33.25,4.8791666666666655,1032.1333333333337,-12.770833333333336,1,1.1
Station_1,146.4212194496309,2017-01-05,-8,0.1,141.04166666666666,2.3291666666666666,1039.6625000000001,-12.483333333333329,1,-7.1
Station_1,147.10459061932116,2017-01-06,-1,3.4,143.41666666666666,3.8458333333333314,1024.0208333333333,-2.254166666666667,1,-8
Station_1,127.16533631120116,2017-01-07,-1.4,0,158.04166666666666,2.2416666666666667,1028.3041666666668,-1.6083333333333334,1,-1
Station_1,127.94162335786982,2017-01-08,1.8,0.3,204.375,3.8833333333333333,1020.525,1.4666666666666668,1,-1.4
Station_1,117.7915621322284,2017-01-09,0.7,0.2,168.29166666666666,5.008333333333333,1010.4833333333332,-0.3791666666666668,1,1.8
Station_1,121.23221436744363,2017-01-10,2.4,4.6,203.95833333333334,7.358333333333332,992.9666666666668,1.3416666666666668,1,0.7
Station_1,115.49933426867106,2017-01-11,3,0,244.16666666666666,5.720833333333334,990.7291666666666,0.4333333333333333,1,2.4
Station_1,113.09493413495547,2017-01-12,0.3,0,166,1.4666666666666666,991.4791666666666,-0.25833333333333336,1,3
Station_1,122.96551536205693,2017-01-13,-0.4,1,220.25,1.7499999999999993,998.5625,-0.45416666666666666,1,0.3
Station_1,124.8617998023487,2017-01-14,-1.9,0,276.75,3.4999999999999996,1014.2166666666668,-3.283333333333333,1,-0.4
Station_1,129.3422788327795,2017-01-15,-3.3,0,218.29166666666666,2.758333333333333,1026.5708333333332,-4.8625,1,-1.9
Station_1,134.48531921239515,2017-01-16,-1.7,0,169.91666666666666,2.0541666666666667,1035.6833333333332,-3.5833333333333335,1,-3.3
Station_1,128.93743322768327,2017-01-17,1.6,0.8,229.625,3.6916666666666664,1034.8875,1.133333333333333,1,-1.7
Station_1,117.2342100478556,2017-01-18,4.4,0,252.33333333333334,3.2000000000000006,1032.2958333333333,3.9041666666666655,1,1.6
Station_1,108.58310810976685,2017-01-19,5.4,0,275.7083333333333,3.400000000000001,1030.0541666666666,4.120833333333333,1,4.4
Station_1,104.87654259256486,2017-01-20,2.6,0,214.875,1.2333333333333332,1030.3083333333334,2.2249999999999996,1,5.4
Station_1,114.97726362887666,2017-01-21,2.1,0,190.83333333333334,1.6624999999999999,1028.1208333333332,2.0083333333333333,1,2.6
Station_1,116.75501243673547,2017-01-22,1.8,0,247.625,2.5708333333333333,1022.7041666666664,1.1375,1,2.1
Station_1,117.66630699263943,2017-01-23,2.4,0,267.3333333333333,2.408333333333333,1024.9875000000004,2.3125000000000004,1,1.8
Station_1,115.63001149199805,2017-01-24,1,0,260.5416666666667,2.5416666666666665,1030.7291666666665,0.7083333333333335,1,2.4
Station_1,120.5878196065632,2017-01-25,0.1,0,203.70833333333334,2.1583333333333337,1031.3958333333333,-0.9458333333333333,1,1
